poradie,uloha,status
1,delectus aut autem,False
2,quis ut nam facilis et officia qui,False
3,fugiat veniam minus,False
5,laboriosam mollitia et enim quasi adipisci quia provident illum,False
6,qui ullam ratione quibusdam voluptatem quia omnis,False
7,illo expedita consequatur quia in,False
9,molestiae perspiciatis ipsa,False
13,et doloremque nulla,False
18,dolorum est consequatur ea mollitia in culpa,False
21,suscipit repellat esse quibusdam voluptatem incidunt,False
23,et itaque necessitatibus maxime molestiae qui quas velit,False
24,adipisci non ad dicta qui amet quaerat doloribus ea,False
28,nesciunt totam sit blanditiis sit,False
29,laborum aut in quam,False
31,repudiandae totam in est sint facere fuga,False
32,earum doloribus ea doloremque quis,False
33,sint sit aut vero,False
34,porro aut necessitatibus eaque distinctio,False
37,sunt cum tempora,False
38,totam quia non,False
39,doloremque quibusdam asperiores libero corrupti illum qui omnis,False
41,aliquid amet impedit consequatur aspernatur placeat eaque fugiat suscipit,False
42,rerum perferendis error quia ut eveniet,False
45,velit soluta adipisci molestias reiciendis harum,False
46,vel voluptatem repellat nihil placeat corporis,False
47,nam qui rerum fugiat accusamus,False
48,sit reprehenderit omnis quia,False
49,ut necessitatibus aut maiores debitis officia blanditiis velit et,False
51,distinctio exercitationem ab doloribus,False
52,nesciunt dolorum quis recusandae ad pariatur ratione,False
53,qui labore est occaecati recusandae aliquid quam,False
57,pariatur et magnam ea doloribus similique voluptatem rerum quia,False
58,est dicta totam qui explicabo doloribus qui dignissimos,False
59,perspiciatis velit id laborum placeat iusto et aliquam odio,False
62,et placeat et tempore aspernatur sint numquam,False
64,voluptas consequatur qui ut quia magnam nemo esse,False
65,fugiat pariatur ratione ut asperiores necessitatibus magni,False
66,rerum eum molestias autem voluptatum sit optio,False
67,quia voluptatibus voluptatem quos similique maiores repellat,False
68,aut id perspiciatis voluptatem iusto,False
69,doloribus sint dolorum ab adipisci itaque dignissimos aliquam suscipit,False
70,ut sequi accusantium et mollitia delectus sunt,False
71,aut velit saepe ullam,False
72,praesentium facilis facere quis harum voluptatibus voluptatem eum,False
74,expedita tempore nobis eveniet laborum maiores,False
75,occaecati adipisci est possimus totam,False
77,maiores aut nesciunt delectus exercitationem vel assumenda eligendi at,False
78,reiciendis est magnam amet nemo iste recusandae impedit quaerat,False
82,voluptates eum voluptas et dicta,False
84,sunt veritatis ut voluptate,False
88,vitae aut excepturi laboriosam sint aliquam et et accusantium,False
94,facilis modi saepe mollitia,False
96,nobis suscipit ducimus enim asperiores voluptas,False
97,dolorum laboriosam eos qui iure aliquam,False
99,neque voluptates ratione,False
100,excepturi a et neque qui expedita vel voluptate,False
101,explicabo enim cumque porro aperiam occaecati minima,False
102,sed ab consequatur,False
103,non sunt delectus illo nulla tenetur enim omnis,False
104,excepturi non laudantium quo,False
107,praesentium facilis omnis laudantium fugit ad iusto nihil nesciunt,False
111,magni accusantium labore et id quis provident,False
112,consectetur impedit quisquam qui deserunt non rerum consequuntur eius,False
113,quia atque aliquam sunt impedit voluptatum rerum assumenda nisi,False
114,cupiditate quos possimus corporis quisquam exercitationem beatae,False
115,sed et ea eum,False
117,sequi quae est et qui qui eveniet asperiores,False
118,quia modi consequatur vero fugiat,False
119,corporis ducimus ea perspiciatis iste,False
120,dolorem laboriosam vel voluptas et aliquam quasi,False
123,esse et quis iste est earum aut impedit,False
124,qui consectetur id,False
125,aut quasi autem iste tempore illum possimus,False
128,eius omnis est qui voluptatem autem,False
129,rerum culpa quis harum,False
131,qui ea incidunt quis,False
134,molestiae doloribus et laborum quod ea,False
135,facere ipsa nam eum voluptates reiciendis vero qui,False
136,asperiores illo tempora fuga sed ut quasi adipisci,False
137,qui sit non,False
139,consequatur doloribus id possimus voluptas a voluptatem,False
143,eum non recusandae cupiditate animi,False
144,ut eum exercitationem sint,False
145,beatae qui ullam incidunt voluptatem non nisi aliquam,False
148,esse quas et quo quasi exercitationem,False
149,animi voluptas quod perferendis est,False
150,eos amet tempore laudantium fugit a,False
152,odit eligendi recusandae doloremque cumque non,False
153,ea aperiam consequatur qui repellat eos,False
160,et praesentium aliquam est,False
163,natus corrupti maxime laudantium et voluptatem laboriosam odit,False
164,reprehenderit quos aut aut consequatur est sed,False
165,fugiat perferendis sed aut quidem,False
166,quos quo possimus suscipit minima ut,False
167,et quis minus quo a asperiores molestiae,False
168,recusandae quia qui sunt libero,False
170,quisquam aliquam quia doloribus aut,False
172,et provident amet rerum consectetur et voluptatum,False
173,harum ad aperiam quis,False
174,similique aut quo,False
176,magni soluta corrupti ut maiores rem quidem,False
177,et placeat temporibus voluptas est tempora quos quibusdam,False
181,ut cupiditate sequi aliquam fuga maiores,False
184,molestias modi perferendis perspiciatis,False
185,voluptates dignissimos sed doloribus animi quaerat aut,False
186,explicabo odio est et,False
187,consequuntur animi possimus,False
192,ut quas possimus exercitationem sint voluptates,False
194,sed ut vero sit molestiae,False
200,ipsam aperiam voluptates qui,False
